* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
20.000000	65.383065
20.290907	65.334016
20.586045	65.277370
20.885476	65.205544
21.189262	65.126244
21.497467	65.137585
21.810155	65.069535
22.127391	65.029853
22.449241	65.060140
22.775773	64.983247
23.107054	65.005980
23.443154	64.951139
23.784142	64.928349
24.130091	64.917317
24.481071	64.933947
24.837156	64.932739
25.198421	64.879944
25.564940	64.829714
25.936791	64.790063
26.314050	64.750453
26.696797	64.714253
27.085111	64.694659
27.479073	64.674781
27.878765	64.652140
28.284271	64.612546
28.695675	64.628686
29.113064	64.633132
29.536523	64.580378
29.966142	64.529407
30.402009	64.489787
30.844217	64.441518
31.292856	64.406570
31.748021	64.389119
32.209807	64.371415
32.678309	64.351830
33.153626	64.312266
33.635857	64.323427
34.125101	64.316365
34.621462	64.221218
35.125043	64.227490
35.635949	64.174558
36.154286	64.134741
36.680162	64.170173
37.213687	64.125333
37.754973	64.079842
38.304131	64.039733
38.861278	64.008019
39.426528	63.977939
40.000000	63.949546
40.581813	63.920739
41.172089	63.891514
41.770951	63.858954
42.378524	63.819259
42.994934	63.870142
43.620309	63.825338
44.254781	63.779881
44.898482	63.739003
45.551545	63.707314
46.214108	63.675746
46.886308	63.644451
47.568285	63.612700
48.260181	63.580487
48.962142	63.548643
49.674312	63.516825
50.396842	63.565747
51.129881	63.517999
51.873582	63.464860
52.628101	63.420852
53.393594	63.381077
54.170222	63.341469
54.958146	63.314361
55.757531	63.294640
56.568542	63.274633
57.391351	63.247919
58.226127	63.216125
59.073046	63.259048
59.932283	63.218013
60.804018	63.085529
61.688433	63.125534
62.585712	63.093719
63.496042	63.064467
64.419613	63.035983
65.356618	63.007085
66.307252	62.977766
67.271713	62.947194
68.250203	62.915424
69.242925	62.952353
70.250086	62.882684
71.271897	62.786919
72.308571	62.824809
73.360323	62.793019
74.427374	62.763565
75.509945	62.735103
76.608262	62.706227
77.722555	62.676931
78.853056	62.646467
80.000000	62.614722
81.163627	62.589777
82.344179	62.570074
83.541903	62.550084
84.757048	62.524083
85.989867	62.492318
87.240619	62.512035
88.509563	62.515915
89.796964	62.463157
91.103091	62.412260
92.428216	62.372636
93.772615	62.333012
95.136569	62.294968
96.520362	62.268717
97.924283	62.242084
99.348625	62.280153
100.793684	62.240368
102.259762	62.274978
103.747164	62.284108
105.256202	62.249254
106.787188	62.213893
108.340444	62.178018
109.916292	62.146417
111.515061	62.114915
113.137085	62.088684
114.782702	62.062072
116.452255	62.098166
118.146092	62.104320
119.864566	62.084594
121.608036	62.064581
123.376866	62.046125
125.171424	62.028651
126.992084	62.010924
128.839227	62.002545
130.713236	62.042161
132.614504	62.039653
134.543426	62.013207
136.500406	61.981971
138.485850	61.942248
140.500173	61.926367
142.543795	61.915252
144.617142	61.903975
146.720647	61.892534
148.854748	61.880927
151.019890	61.869585
153.216525	61.858523
155.445111	61.847301
157.706112	61.835916
160.000000	61.824365
162.327254	61.812646
164.688358	61.800758
167.083805	61.788698
169.514095	61.776462
171.979734	61.764048
174.481237	61.751180
177.019125	61.737043
179.593928	61.722701
182.206182	61.708151
184.856431	61.693339
187.545230	61.673794
190.273138	61.653964
193.040725	61.633845
195.848567	61.683854
198.697250	61.672144
201.587368	61.645631
204.519524	61.622722
207.494329	61.603029
210.512403	61.583050
213.574377	61.566397
216.680888	61.553423
219.832584	61.540259
223.030122	61.526905
226.274170	61.513356
229.565404	61.500408
232.904509	61.487354
236.292183	61.474109
239.729132	61.460672
243.216073	61.445857
246.753732	61.428450
250.342848	61.410790
253.984168	61.392874
257.678453	61.375490
261.426473	61.357940
265.229008	61.340134
269.086853	61.324004
273.000811	61.309813
276.971700	61.295415
281.000346	61.280807
285.087590	61.261374
289.234284	61.229717
293.441294	61.269080
297.709496	61.244139
302.039780	61.217559
306.433050	61.187458
310.890221	61.155606
315.412224	61.140416
320.000000	61.129305
324.654507	61.118034
329.376716	61.106598
334.167610	61.094996
339.028190	61.087058
343.959469	61.083462
348.962474	61.079813
354.038251	61.076112
359.187855	61.072357
364.412363	61.068547
369.712863	61.064681
375.090460	61.060760
380.546277	61.056781
386.081450	61.052744
391.697134	61.048649
397.394500	61.044494
403.174736	61.040279
409.039048	61.036003
414.988657	61.031664
421.024807	61.029122
427.148753	61.033276
433.361775	61.037491
439.665167	61.041766
446.060244	61.046104
452.548340	61.050505
459.130807	61.054970
465.809019	61.059500
472.584367	61.064096
479.458265	61.068759
486.432146	61.073489
493.507464	61.078288
500.685695	61.083157
507.968337	61.088097
515.356906	61.101061
522.852945	61.115335
530.458016	61.129818
538.173706	61.144510
546.001623	61.176175
553.943399	61.197067
562.000691	61.186610
570.175180	61.281742
578.468569	61.291725
586.882588	61.298922
595.418991	61.334168
604.079560	61.351542
612.866100	61.369169
621.780442	61.387053
630.824447	61.415495
640.000000	61.447379
649.309014	61.417331
658.753431	61.406448
668.335221	61.451464
678.056380	61.497134
687.918938	61.538730
697.924949	61.574359
708.076501	61.586245
718.375711	61.598304
728.824726	61.610539
739.425726	61.622951
750.180921	61.634225
761.092554	61.640206
772.162900	61.646273
783.394268	61.652429
794.789000	61.658674
806.349472	61.665010
818.078095	61.671438
829.977315	61.677960
842.049613	61.684577
854.297507	61.691289
866.723550	61.698324
879.330334	61.705573
892.120489	61.712928
905.096680	61.720389
918.261614	61.727959
931.618037	61.735640
945.168733	61.743432
958.916529	61.751337
972.864291	61.719121
987.014928	61.758755
1001.371391	61.885820
1015.936673	61.886897
1030.713812	61.908584
1045.705890	61.961273
1060.916032	62.040141
1076.347412	62.119388
1092.003245	62.133533
1107.886798	62.184418
1124.001383	62.237359
1140.350359	62.262330
1156.937137	62.326504
1173.765175	62.432599
1190.837983	62.509300
1208.159120	62.562204
1225.732199	62.629204
1243.560885	62.734423
1261.648894	62.841173
1280.000000	62.830145
1298.618029	62.907404
1317.506863	62.960304
1336.670442	63.061776
1356.112761	63.168009
1375.837875	63.187652
1395.849898	63.272666
1416.153002	63.325601
1436.751422	63.436455
1457.649452	63.550034
1478.851452	63.653777
1500.361842	63.763384
1522.185107	63.778268
1544.325799	63.902495
1566.788535	64.122389
1589.577999	64.230153
1612.698944	64.341543
1636.156190	64.512258
1659.954630	64.703722
1684.099226	64.804370
1708.595013	64.931061
1733.447100	65.162171
1758.660669	65.392203
1784.240977	65.499616
1810.193360	65.611355
1836.523229	65.887421
1863.236074	66.072436
1890.337467	66.194803
1917.833058	66.400031
1945.728583	66.678269
1974.029857	66.791826
2002.742782	66.983254
2031.873347	67.295067
2061.427625	67.449311
2091.411780	67.608016
2121.832065	67.724410
2152.694823	68.001677
2184.006490	68.204966
2215.773596	68.324941
2248.002765	68.506639
2280.700718	68.729667
2313.874274	68.839772
2347.530351	68.998447
2381.675966	68.981434
2416.318240	69.179469
2451.464399	69.203219
2487.121769	69.242880
2523.297789	69.282484
2560.000000	69.289847
2597.236057	69.163372
2635.013726	69.118717
2673.340883	69.060933
2712.225522	68.991837
2751.675750	68.926425
2791.699796	68.821253
