* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
20.000000	63.145161
20.290907	63.145161
20.586045	63.077240
20.885476	63.129480
21.189262	63.044727
21.497467	63.066787
21.810155	63.009340
22.127391	62.967332
22.449241	62.993586
22.775773	63.020222
23.107054	63.005129
23.443154	62.982456
23.784142	62.960429
24.130091	62.942443
24.481071	62.924196
24.837156	62.905683
25.198421	62.886901
25.564940	62.867846
25.936791	62.848513
26.314050	62.824329
26.696797	62.797859
27.085111	62.777695
27.479073	62.766646
27.878765	62.755436
28.284271	62.744063
28.695675	62.732525
29.113064	62.719665
29.536523	62.693433
29.966142	62.666819
30.402009	62.636292
30.844217	62.604399
31.292856	62.590280
31.748021	62.578267
32.209807	62.566079
32.678309	62.553713
33.153626	62.541168
33.635857	62.519434
34.125101	62.496733
34.621462	62.476944
35.125043	62.465919
35.635949	62.454734
36.154286	62.443386
36.680162	62.431874
37.213687	62.420193
37.754973	62.382669
38.304131	62.348328
38.861278	62.321973
39.426528	62.297109
40.000000	62.286108
40.581813	62.274947
41.172089	62.263623
41.770951	62.252135
42.378524	62.240480
42.994934	62.217475
43.620309	62.190977
44.254781	62.172389
44.898482	62.162094
45.551545	62.151649
46.214108	62.141053
46.886308	62.130302
47.568285	62.119395
48.260181	62.092493
48.962142	62.060609
49.674312	62.033660
50.396842	62.007127
51.129881	61.989576
51.873582	61.978501
52.628101	61.967264
53.393594	61.955864
54.170222	61.944299
54.958146	61.929035
55.757531	61.902740
56.568542	61.876062
57.391351	61.865185
58.226127	61.854820
59.073046	61.844305
59.932283	61.833637
60.804018	61.822813
61.688433	61.806895
62.585712	61.775255
63.496042	61.743450
64.419613	61.711767
65.356618	61.689156
66.307252	61.678871
67.271713	61.668435
68.250203	61.657848
69.242925	61.647107
70.250086	61.636210
71.271897	61.614395
72.308571	61.587921
73.360323	61.568233
74.427374	61.557948
75.509945	61.547514
76.608262	61.536927
77.722555	61.526187
78.853056	61.515290
80.000000	61.493542
81.163627	61.467071
82.344179	61.445249
83.541903	61.430037
84.757048	61.414603
85.989867	61.398945
87.240619	61.383059
88.509563	61.366942
89.796964	61.350591
91.103091	61.334001
92.428216	61.323017
93.772615	61.313349
95.136569	61.303542
96.520362	61.293591
97.924283	61.283496
99.348625	61.273254
100.793684	61.267172
102.259762	61.262853
103.747164	61.258472
105.256202	61.254027
106.787188	61.249518
108.340444	61.244943
109.916292	61.240301
111.515061	61.235592
113.137085	61.230814
114.782702	61.225967
116.452255	61.221049
118.146092	61.216060
119.864566	61.210999
121.608036	61.208404
123.376866	61.206664
125.171424	61.204898
126.992084	61.203107
128.839227	61.201290
130.713236	61.199447
132.614504	61.197577
134.543426	61.195679
136.500406	61.193754
138.485850	61.191801
140.500173	61.189820
142.543795	61.187810
144.617142	61.185770
146.720647	61.183701
148.854748	61.181602
151.019890	61.179472
153.216525	61.177311
155.445111	61.175119
157.706112	61.172895
160.000000	61.170638
162.327254	61.168349
164.688358	61.166027
167.083805	61.163670
169.514095	61.161280
171.979734	61.158854
174.481237	61.156394
177.019125	61.153897
179.593928	61.151364
182.206182	61.148812
184.856431	61.146318
187.545230	61.143788
190.273138	61.141221
193.040725	61.138617
195.848567	61.135974
198.697250	61.133294
201.587368	61.130574
204.519524	61.127815
207.494329	61.125016
210.512403	61.122176
213.574377	61.119294
216.680888	61.116371
219.832584	61.113405
223.030122	61.110396
226.274170	61.107344
229.565404	61.104247
232.904509	61.101104
236.292183	61.097917
239.729132	61.094682
243.216073	61.091401
246.753732	61.087531
250.342848	61.081284
253.984168	61.074946
257.678453	61.068517
261.426473	61.061993
265.229008	61.055375
269.086853	61.048661
273.000811	61.041849
276.971700	61.034937
281.000346	61.028079
285.087590	61.024602
289.234284	61.021074
293.441294	61.017495
297.709496	61.013864
302.039780	61.010180
306.433050	61.006443
310.890221	61.002651
315.412224	60.998804
320.000000	60.994901
324.654507	60.990941
329.376716	60.986923
334.167610	60.982848
339.028190	60.978713
343.959469	60.974517
348.962474	60.970261
354.038251	60.969103
359.187855	60.972417
364.412363	60.975780
369.712863	60.979191
375.090460	60.982652
380.546277	60.986164
386.081450	60.989726
391.697134	60.993341
397.394500	60.997007
403.174736	61.000728
409.039048	61.004502
414.988657	61.008331
421.024807	61.012216
427.148753	61.016158
433.361775	61.020156
439.665167	61.024213
446.060244	61.028545
452.548340	61.041434
459.130807	61.054511
465.809019	61.067777
472.584367	61.081237
479.458265	61.097295
486.432146	61.116532
493.507464	61.136050
500.685695	61.155851
507.968337	61.175940
515.356906	61.196321
