* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
20.000000	56.068548
20.290907	56.068548
20.586045	56.073577
20.885476	56.126532
21.189262	56.078646
21.497467	56.036533
21.810155	56.053633
22.127391	56.091466
22.449241	56.189360
22.775773	56.134388
23.107054	56.156881
23.443154	56.179700
23.784142	56.190281
24.130091	56.191628
24.481071	56.192994
24.837156	56.194381
25.198421	56.195787
25.564940	56.197214
25.936791	56.198662
26.314050	56.200131
26.696797	56.201621
27.085111	56.203133
27.479073	56.204666
27.878765	56.206223
28.284271	56.207801
28.695675	56.209403
29.113064	56.211028
29.536523	56.212677
29.966142	56.214350
30.402009	56.216046
30.844217	56.217768
31.292856	56.219515
31.748021	56.221287
32.209807	56.223085
32.678309	56.224909
33.153626	56.226759
33.635857	56.228637
34.125101	56.230542
34.621462	56.232474
35.125043	56.234435
35.635949	56.236424
36.154286	56.238442
36.680162	56.240489
37.213687	56.242567
37.754973	56.244674
38.304131	56.246812
38.861278	56.248981
39.426528	56.250485
40.000000	56.251402
40.581813	56.252333
41.172089	56.253276
41.770951	56.254234
42.378524	56.255205
42.994934	56.256191
43.620309	56.257191
44.254781	56.258205
44.898482	56.259234
45.551545	56.260278
46.214108	56.261338
46.886308	56.262413
47.568285	56.263503
48.260181	56.264609
48.962142	56.265732
49.674312	56.266870
50.396842	56.268025
51.129881	56.269197
51.873582	56.270387
52.628101	56.271593
53.393594	56.272817
54.170222	56.274059
54.958146	56.275318
55.757531	56.276596
56.568542	56.277893
57.391351	56.279209
58.226127	56.280543
59.073046	56.281898
59.932283	56.283271
60.804018	56.284665
61.688433	56.286079
62.585712	56.287514
63.496042	56.288969
64.419613	56.290446
65.356618	56.291944
66.307252	56.293464
67.271713	56.295006
68.250203	56.296571
69.242925	56.298158
70.250086	56.299768
71.271897	56.301402
72.308571	56.303059
73.360323	56.304741
74.427374	56.306447
75.509945	56.308178
76.608262	56.309934
77.722555	56.312063
78.853056	56.314382
80.000000	56.316733
81.163627	56.319119
82.344179	56.321540
83.541903	56.323996
84.757048	56.326487
85.989867	56.329015
87.240619	56.331580
88.509563	56.334182
89.796964	56.336822
91.103091	56.339500
92.428216	56.342217
93.772615	56.344974
95.136569	56.347770
96.520362	56.350608
97.924283	56.353487
99.348625	56.356407
100.793684	56.359370
102.259762	56.362376
103.747164	56.365426
105.256202	56.368520
106.787188	56.371871
108.340444	56.376029
109.916292	56.380247
111.515061	56.384526
113.137085	56.388868
114.782702	56.393273
116.452255	56.397742
118.146092	56.402276
119.864566	56.406876
121.608036	56.411543
123.376866	56.416278
125.171424	56.421081
126.992084	56.425955
128.839227	56.430899
130.713236	56.438174
132.614504	56.445838
134.543426	56.453613
136.500406	56.461502
138.485850	56.469505
140.500173	56.477625
142.543795	56.485863
144.617142	56.497227
146.720647	56.516863
148.854748	56.536784
151.019890	56.534711
153.216525	56.455349
155.445111	56.487144
157.706112	56.502263
160.000000	56.513405
162.327254	56.524708
164.688358	56.536177
167.083805	56.547812
169.514095	56.561853
171.979734	56.577550
174.481237	56.593476
177.019125	56.609633
179.593928	56.619278
182.206182	56.627358
184.856431	56.635555
187.545230	56.643871
190.273138	56.652309
193.040725	56.660869
195.848567	56.669553
198.697250	56.679557
201.587368	56.690638
204.519524	56.701880
207.494329	56.713287
210.512403	56.724858
213.574377	56.737446
216.680888	56.753059
219.832584	56.768898
223.030122	56.784968
226.274170	56.801468
229.565404	56.818480
232.904509	56.835739
236.292183	56.853250
239.729132	56.871015
243.216073	56.889038
246.753732	56.907323
250.342848	56.927993
253.984168	56.950592
257.678453	56.973519
261.426473	56.993029
265.229008	57.012408
269.086853	57.032069
273.000811	57.052016
276.971700	57.072253
281.000346	57.092784
285.087590	57.114844
289.234284	57.137522
293.441294	57.162259
297.709496	57.197942
302.039780	57.234144
306.433050	57.270872
310.890221	57.308135
315.412224	57.308555
320.000000	57.320963
324.654507	57.356151
329.376716	57.382627
334.167610	57.410852
339.028190	57.441712
343.959469	57.473021
348.962474	57.504786
354.038251	57.537013
359.187855	57.569708
364.412363	57.601695
369.712863	57.633556
375.090460	57.681483
380.546277	57.717606
386.081450	57.743629
391.697134	57.770030
397.394500	57.796816
403.174736	57.825287
409.039048	57.878208
414.988657	57.918992
421.024807	57.963845
427.148753	57.984813
433.361775	57.970601
439.665167	58.027421
446.060244	58.085067
452.548340	58.143551
459.130807	58.196966
465.809019	58.236685
472.584367	58.286532
479.458265	58.339455
486.432146	58.312190
493.507464	58.368700
500.685695	58.426031
507.968337	58.484197
515.356906	58.543208
522.852945	58.596634
530.458016	58.649541
538.173706	58.702464
546.001623	58.691388
553.943399	58.720282
562.000691	58.791556
570.175180	58.863866
578.468569	58.937228
586.882588	58.992826
595.418991	59.032675
604.079560	59.072233
612.866100	59.131350
621.780442	59.181235
630.824447	59.220328
640.000000	59.259989
649.309014	59.300227
658.753431	59.342833
668.335221	59.395656
678.056380	59.435215
687.918938	59.494411
697.924949	59.540069
708.076501	59.573392
718.375711	59.607200
728.824726	59.641499
739.425726	59.676298
750.180921	59.713153
761.092554	59.752931
772.162900	59.792522
783.394268	59.790953
794.789000	59.788245
806.349472	59.840264
818.078095	59.893040
829.977315	59.946584
842.049613	60.000519
854.297507	60.032081
866.723550	60.064896
879.330334	60.104512
892.120489	60.154095
905.096680	60.211003
918.261614	60.268739
931.618037	60.327314
945.168733	60.303884
958.916529	60.376412
972.864291	60.427877
987.014928	60.467495
1001.371391	60.518833
1015.936673	60.578692
1030.713812	60.639422
1045.705890	60.701035
1060.916032	60.763544
1076.347412	60.837038
1092.003245	60.913366
1107.886798	60.966336
1124.001383	61.047901
1140.350359	61.141549
1156.937137	61.236559
1173.765175	61.332952
1190.837983	61.334210
1208.159120	61.442035
1225.732199	61.551651
1243.560885	61.631120
1261.648894	61.765521
1280.000000	61.887929
1298.618029	62.012117
1317.506863	62.130144
1336.670442	62.241782
1356.112761	62.349451
1375.837875	62.498892
1395.849898	62.670221
1416.153002	62.848138
1436.751422	63.028642
1457.649452	63.139636
1478.851452	63.292934
1500.361842	63.451774
1522.185107	63.621419
1544.325799	63.799095
1566.788535	63.979355
1589.577999	64.147466
1612.698944	64.306290
1636.156190	64.465101
1659.954630	64.659593
1684.099226	64.885533
1708.595013	65.114759
1733.447100	65.221295
1758.660669	65.440617
1784.240977	65.618423
1810.193360	65.865768
1836.523229	66.116711
1863.236074	66.273752
1890.337467	66.476595
1917.833058	66.635334
1945.728583	66.909123
1974.029857	67.201296
2002.742782	67.366352
2031.873347	67.573047
2061.427625	67.792345
2091.411780	68.047938
2121.832065	68.313737
2152.694823	68.510698
2184.006490	68.689815
2215.773596	68.947012
2248.002765	69.172498
2280.700718	69.399857
2313.874274	69.607176
2347.530351	69.794031
2381.675966	69.985288
2416.318240	70.186445
2451.464399	70.412716
2487.121769	70.642279
2523.297789	70.777289
2560.000000	70.960772
2597.236057	71.063814
2635.013726	71.234061
2673.340883	71.412495
2712.225522	71.593525
2751.675750	71.694327
2791.699796	71.823681
2832.306004	71.933341
2873.502844	72.011729
2915.298905	72.089622
2957.702904	72.168648
3000.723683	72.248824
3044.370214	72.330165
3088.651599	72.366955
3133.577071	72.398920
3179.155999	72.438407
3225.397888	72.454143
3272.312380	72.442192
3319.909260	72.430068
3368.198452	72.417767
3417.190027	72.405287
3466.894200	72.371954
3517.321337	72.319003
3568.481954	72.266037
3620.386720	72.211492
3673.046457	72.140869
3726.472148	72.069218
3780.674934	71.996525
3835.666117	71.922775
3891.457165	71.783443
3948.059713	71.704072
4005.485564	71.594413
4063.746693	71.501201
4122.855250	71.391533
4182.823560	71.280271
4243.664130	71.167390
4305.389646	71.023702
4368.012981	70.925383
4431.547192	70.796657
4496.005531	70.673130
4561.401437	70.533959
4627.748549	70.392764
4695.060701	70.249514
4763.351932	70.153956
4832.636481	70.048005
4902.928797	69.908130
4974.243539	69.812926
5046.595577	69.690896
5120.000000	69.567092
5194.472115	69.441487
5270.027452	69.329666
5346.681766	69.189735
5424.451043	69.110388
5503.351500	69.000036
5583.399591	68.860282
5664.612008	68.718496
5747.005687	68.573318
5830.597810	68.471370
5915.405808	68.316193
6001.447367	68.154135
6088.740429	67.929826
6177.303198	67.702255
6267.154142	67.499628
6358.311998	67.302349
6450.795775	67.060907
6544.624761	66.704276
6639.818520	66.319910
6736.396904	66.084042
6834.380053	65.697007
6933.788400	65.316762
7034.642675	65.019474
7136.963909	64.800053
7240.773439	64.584989
7346.092914	64.467466
7452.944296	64.348234
7561.349867	64.242461
7671.332234	64.447684
7782.914330	64.741513
7896.119426	65.566846
8010.971128	65.944879
8127.493386	66.242353
8245.710500	66.521160
8365.647121	66.256228
8487.328260	65.002352
8610.779292	63.700507
8736.025961	62.238445
8863.094385	60.768542
8992.011061	59.277301
9122.802874	57.904136
9255.497097	56.685336
9390.121402	55.960235
9526.703863	55.549897
9665.272962	55.678784
9805.857594	56.057426
9948.487077	56.801527
10093.191154	57.236462
10240.000000	57.387773
10388.944230	57.515584
10540.054903	57.363210
10693.363532	57.026757
10848.902086	56.680942
11006.703001	56.322807
11166.799182	56.435665
11329.224017	56.753221
11494.011375	57.736169
11661.195620	58.108970
11830.811616	59.278651
12002.894734	60.443081
12177.480858	60.821174
12354.606395	60.919474
12534.308283	60.779028
12716.623996	60.061571
12901.591551	59.281900
13089.249521	59.076154
13279.637040	59.063237
13472.793808	59.304677
13668.760107	60.188116
13867.576801	60.680870
14069.285350	60.963673
14273.927818	60.726301
14481.546879	60.430150
14692.185828	59.623736
14905.888592	58.932958
15122.699734	58.603410
15342.664467	58.317581
15565.828661	58.228507
15792.238852	58.369984
16021.942256	58.568762
16254.986772	58.505236
16491.420999	58.293946
16731.294241	58.091585
16974.656520	57.801001
17221.558584	57.484384
17472.051922	56.967926
17726.188769	56.666661
17984.022122	56.390274
18245.605748	55.919579
18510.994194	55.528275
18780.242805	55.214798
19053.407727	54.985557
19330.545924	54.593869
19611.715189	54.115817
19896.974155	54.012097
20186.382308	54.012097
